id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;896;309.6576;1238.6304;1227.59588571429
3;Convolutional;;;;
4;Convolutional;18496;6606.0288;6606.0288;6606.0288
5;mpool;;;;
6;Convolutional;5200;458.752;458.752;458.752
7;Convolutional;138432;12386.304;12386.304;12386.304
8;mpool;;;;
9;Convolutional;12352;275.2512;275.2512;275.2512
10;Convolutional;3120;68.8128;68.8128;68.8128
11;Convolutional;76864;1720.32;1720.32;1720.32
12;Convolutional;4160;91.7504;91.7504;91.7504
13;Convolutional;55392;1238.6304;1238.6304;1238.6304
14;Convolutional;83040;1857.9456;1857.9456;1857.9456
15;apool;;;;
16;Convolutional;3104;68.8128;68.8128;68.8128
17;Convolutional;2112;45.8752;45.8752;45.8752
18;Convolutional;3120;68.8128;68.8128;68.8128
19;Convolutional;76864;1720.32;1720.32;1720.32
20;Convolutional;4160;91.7504;91.7504;91.7504
21;Convolutional;55392;1238.6304;1238.6304;1238.6304
22;Convolutional;83040;1857.9456;1857.9456;1857.9456
23;apool;;;;
24;Convolutional;6208;137.6256;137.6256;137.6256
25;Convolutional;4160;91.7504;91.7504;91.7504
26;Convolutional;3120;68.8128;68.8128;68.8128
27;Convolutional;76864;1720.32;1720.32;1720.32
28;Convolutional;4160;91.7504;91.7504;91.7504
29;Convolutional;55392;1238.6304;1238.6304;1238.6304
30;Convolutional;83040;1857.9456;1857.9456;1857.9456
31;apool;;;;
32;Convolutional;6208;137.6256;137.6256;137.6256
33;Convolutional;221568;1238.6304;4954.5216;4606.94674285714
34;Convolutional;24640;137.6256;137.6256;137.6256
35;Convolutional;55392;309.6576;309.6576;309.6576
36;Convolutional;83040;116.1216;464.4864;400.501028571429
37;mpool;;;;
38;Convolutional;18624;4.73965714285714;4.73965714285714;4.73965714285714
39;Convolutional;24704;6.31954285714286;6.31954285714286;6.31954285714286
40;Convolutional;114816;29.4912;29.4912;29.4912
41;Convolutional;172224;44.2368;44.2368;44.2368
42;Convolutional;24704;6.31954285714286;6.31954285714286;6.31954285714286
43;Convolutional;114816;29.4912;29.4912;29.4912
44;Convolutional;114816;29.4912;29.4912;29.4912
45;Convolutional;114816;29.4912;29.4912;29.4912
46;Convolutional;172224;44.2368;44.2368;44.2368
47;apool;;;;
48;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
49;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
50;Convolutional;30880;7.89942857142857;7.89942857142857;7.89942857142857
51;Convolutional;179360;46.08;46.08;46.08
52;Convolutional;215232;55.296;55.296;55.296
53;Convolutional;30880;7.89942857142857;7.89942857142857;7.89942857142857
54;Convolutional;179360;46.08;46.08;46.08
55;Convolutional;179360;46.08;46.08;46.08
56;Convolutional;179360;46.08;46.08;46.08
57;Convolutional;215232;55.296;55.296;55.296
58;apool;;;;
59;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
60;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
61;Convolutional;30880;7.89942857142857;7.89942857142857;7.89942857142857
62;Convolutional;179360;46.08;46.08;46.08
63;Convolutional;215232;55.296;55.296;55.296
64;Convolutional;30880;7.89942857142857;7.89942857142857;7.89942857142857
65;Convolutional;179360;46.08;46.08;46.08
66;Convolutional;179360;46.08;46.08;46.08
67;Convolutional;179360;46.08;46.08;46.08
68;Convolutional;215232;55.296;55.296;55.296
69;apool;;;;
70;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
71;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
72;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
73;Convolutional;258240;66.3552;66.3552;66.3552
74;Convolutional;258240;66.3552;66.3552;66.3552
75;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
76;Convolutional;258240;66.3552;66.3552;66.3552
77;Convolutional;258240;66.3552;66.3552;66.3552
78;Convolutional;258240;66.3552;66.3552;66.3552
79;Convolutional;258240;66.3552;66.3552;66.3552
80;apool;;;;
81;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
82;Convolutional;37056;9.47931428571429;9.47931428571429;9.47931428571429
83;Convolutional;553280;63.1954285714286;142.189714285714;142.189714285714
84;Convolutional;61632;7.02171428571429;7.02171428571429;7.02171428571429
85;Convolutional;258240;29.4912;29.4912;29.4912
86;Convolutional;258240;29.4912;29.4912;29.4912
87;Convolutional;331968;9.47931428571429;37.9172571428571;9.47931428571429
88;mpool;;;;
89;Convolutional;61760;1.75542857142857;1.75542857142857;1.75542857142857
90;Convolutional;123264;3.51085714285714;3.51085714285714;3.51085714285714
91;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
92;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
93;Convolutional;172480;4.9152;4.9152;4.9152
94;Convolutional;1548672;44.2368;44.2368;44.2368
95;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
96;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
97;apool;;;;
98;Convolutional;73920;2.10651428571429;2.10651428571429;2.10651428571429
99;Convolutional;61760;1.75542857142857;1.75542857142857;1.75542857142857
100;Convolutional;123264;3.51085714285714;3.51085714285714;3.51085714285714
101;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
102;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
103;Convolutional;172480;4.9152;4.9152;4.9152
104;Convolutional;1548672;44.2368;44.2368;44.2368
105;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
106;Convolutional;442752;12.6390857142857;12.6390857142857;12.6390857142857
107;mpool;;;;
108;Convolutional;73920;2.10651428571429;2.10651428571429;2.10651428571429
109;apool;;;;
110;FC;192192;5.4912;0;5.4912
